case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek3e-3,0.003000000000000819,49.087385212340514,1.7166115503228492e-07,4.445857441365893e-07,4.719172438994975e-08,-5.002786434899375e-07,-1.3319790488049403e-10,-8.367977058517973e-09
Ek3e-3,0.003000000000000819,49.480084294039244,1.560258466101807e-07,4.050795256009705e-07,4.4174919330782507e-08,-4.6184173494621823e-07,-7.05173418768931e-11,-1.2516772672588205e-08
Ek3e-3,0.003000000000000819,49.87278337573797,1.6293167484070037e-07,4.322001996076061e-07,4.4613568315548313e-08,-4.874325307785151e-07,-1.2058543755661882e-10,-1.0498177417804179e-08
Ek3e-3,0.003000000000000819,50.26548245743669,1.569889336599012e-07,3.9869061736107675e-07,4.364286000931783e-08,-4.750928663416409e-07,-1.0702276132783163e-10,-3.2652366209918565e-08
Ek3e-3,0.003000000000000819,50.65818153913541,1.460780138684717e-07,3.980534780385101e-07,3.9793358569078304e-08,-4.484528958193058e-07,-1.2018330588704616e-10,-1.0485875905830333e-08
Ek3e-3,0.003000000000000819,51.050880620834135,1.491086349879683e-07,4.127590032138164e-07,4.07204149642647e-08,-4.6316073465501867e-07,-1.7254390731402936e-11,-9.664062086206037e-09
Ek3e-3,0.003000000000000819,51.443579702532865,1.3769202508039385e-07,3.6803363569484114e-07,3.79780860428128e-08,-4.3413654928237354e-07,-9.882919389239572e-11,-2.802599835082719e-08
Ek3e-3,0.003000000000000819,51.83627878423159,1.4215100452472193e-07,3.8679263345570225e-07,3.925859875789598e-08,-4.5258162121291385e-07,-6.9192076005629e-11,-2.6461196923310015e-08
Ek3e-3,0.003000000000000819,52.22897786593031,1.3461491048921265e-07,3.8706170727304353e-07,3.686550067035181e-08,-4.347371465595241e-07,-6.649779613050123e-11,-1.0743440819998263e-08
Ek3e-3,0.003000000000000819,52.621676947629034,1.2367259051197717e-07,3.499749831804423e-07,3.2899759324791914e-08,-4.038561465238782e-07,-1.1640666781588068e-10,-2.0864997350828087e-08
Ek3e-3,0.003000000000000819,53.01437602932776,1.2916532109188688e-07,3.712256890327857e-07,3.516557662864882e-08,-4.273986704045213e-07,-6.698397666213119e-11,-2.094042076642458e-08
Ek3e-3,0.003000000000000819,53.40707511102649,1.2135565503484763e-07,3.5922352332425187e-07,3.2758697507407406e-08,-4.066057369932029e-07,-4.502722560974499e-11,-1.4578488935933841e-08
Ek3e-3,0.003000000000000819,53.79977419272521,1.195123963210009e-07,3.46567412444321e-07,3.2842438544534716e-08,-4.058104381139451e-07,-1.393098145627354e-11,-2.6386656143633166e-08
Ek3e-3,0.003000000000000819,54.19247327442393,1.1647630190837659e-07,3.42074794072808e-07,3.1041622169049776e-08,-3.994729450469779e-07,-7.727296014467433e-11,-2.627925584497548e-08
Ek3e-3,0.003000000000000819,54.585172356122655,1.096417521497802e-07,3.2621131401915164e-07,2.9130438758085396e-08,-3.8038454414807675e-07,-3.591619722196317e-11,-2.5006875173617773e-08
Ek3e-3,0.003000000000000819,54.97787143782138,1.1305077581564625e-07,3.571384011509255e-07,3.031805210753195e-08,-3.9757448626132496e-07,-8.199467017977916e-11,-1.0036038332687745e-08
Ek3e-3,0.003000000000000819,55.3705705195201,1.0466507334481896e-07,3.1441109737549577e-07,2.814824910234494e-08,-3.7255662472781436e-07,2.1154336243645747e-12,-2.999939368359803e-08
Ek3e-3,0.003000000000000819,55.76326960121883,1.0431223772695222e-07,3.187183556964159e-07,2.7828948557548585e-08,-3.7556312676149455e-07,-5.48457909464581e-11,-2.8960976716583735e-08
Ek3e-3,0.003000000000000819,56.15596868291755,1.0226568038577594e-07,3.132941114587993e-07,2.7913381140722092e-08,-3.731656437862354e-07,-5.968287728987532e-11,-3.189846830942402e-08
