case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,131.94689145077132,7.104170337102825e-19,1.9971852692546403e-19,9.121703297987169e-18,-1.1312613656257132e-17,-4.407666325954828e-23,-1.99114775468124e-18
Ek1p5e-4,0.00014999999999973672,133.5176877775662,6.792572896713211e-19,1.377385722439769e-19,8.715810339381995e-18,-1.100860222043155e-17,-6.498377384453177e-23,-2.1549883250317335e-18
Ek1p5e-4,0.00014999999999973672,135.0884841043611,6.308427407797636e-19,9.383041499022308e-20,8.174300387187401e-18,-1.0434387758545351e-17,-2.641371930378484e-22,-2.1659928191746866e-18
Ek1p5e-4,0.00014999999999973672,136.659280431156,5.8918684266439e-19,9.189020340314504e-20,7.772411352088204e-18,-9.974918241996086e-18,2.5906871669447613e-22,-2.1108757552214306e-18
Ek1p5e-4,0.00014999999999973672,138.23007675795088,4.680458832108946e-19,5.255300571548604e-20,6.151780646825898e-18,-8.059214012486266e-18,2.460486726533761e-22,-1.8551264086175358e-18
Ek1p5e-4,0.00014999999999973672,139.8008730847458,4.644217805416994e-19,3.834357491445065e-20,6.179032785974449e-18,-8.141502068995964e-18,-1.1792624981261485e-22,-1.924007781857252e-18
Ek1p5e-4,0.00014999999999973672,141.3716694115407,3.5838976223187984e-19,1.4989361530692107e-20,4.797454481917016e-18,-6.402021563562761e-18,-6.35532216234941e-23,-1.589514166893429e-18
Ek1p5e-4,0.00014999999999973672,142.94246573833559,3.3837450711564106e-19,1.3263753885926916e-20,4.553974885470412e-18,-6.164640371531471e-18,2.7798291417917537e-24,-1.5974045120042741e-18
Ek1p5e-4,0.00014999999999973672,144.51326206513048,3.2101895301806176e-19,4.836041804839269e-21,4.409638599192434e-18,-5.973140845866397e-18,1.087099301187e-22,-1.5587749147992415e-18
Ek1p5e-4,0.00014999999999973672,146.08405839192537,3.19598279230589e-19,2.8983702580823974e-21,4.457706557065227e-18,-6.084415757090679e-18,2.2457938575533043e-23,-1.6238332877059457e-18
Ek1p5e-4,0.00014999999999973672,147.6548547187203,3.5194771561408424e-19,3.409277342809403e-21,4.991876756936963e-18,-6.8366818753719365e-18,1.8444065231644392e-22,-1.8415802817444788e-18
