Ek,time,F_P_h
0.0002,1236.8,0.00616547801
0.0002,1236.9,0.00618047907
0.0002,1237.0,0.00619569179
0.0002,1237.1,0.00621102956
0.0002,1237.2,0.00622647554
0.0002,1237.3,0.0062422376
0.0002,1237.4,0.00625806337
0.0002,1237.5,0.00627400867
0.0002,1237.6,0.00629017056
0.0002,1237.7,0.00630650356
0.0002,1237.8,0.00632302888
0.0002,1237.9,0.00633972298
0.0002,1238.0,0.00635653336
0.0002,1238.1,0.00637358744
0.0002,1238.2,0.00639079731
0.0002,1238.3,0.00640822774
0.0002,1238.4,0.00642574687
0.0002,1238.5,0.00644356074
0.0002,1238.6,0.00646137772
0.0002,1238.7,0.00647947401
0.0002,1238.8,0.00649773305
0.0002,1238.9,0.00651617068
0.0002,1239.0,0.0065347144
0.0002,1239.1,0.00655354236
0.0002,1239.2,0.0065724991
0.0002,1239.3,0.00659159042
0.0002,1239.4,0.00661090989
0.0002,1239.5,0.00663038099
0.0002,1239.6,0.00665000806
0.0002,1239.7,0.00666986276
0.0002,1239.8,0.00668982545
0.0002,1239.9,0.00670996934
0.0002,1240.0,0.00673029047
0.0002,1240.1,0.00675083448
0.0002,1240.2,0.00677154572
0.0002,1240.3,0.00679231494
0.0002,1240.4,0.00681343646
0.0002,1240.5,0.00683460569
0.0002,1240.6,0.00685600394
0.0002,1240.7,0.00687745949
0.0002,1240.8,0.00689917728
0.0002,1240.9,0.00692112314
0.0002,1241.0,0.00694323742
0.0002,1241.1,0.0069653988
0.0002,1241.2,0.00698789371
0.0002,1241.3,0.0070104927
0.0002,1241.4,0.00703327268
0.0002,1241.5,0.00705627859
0.0002,1241.6,0.00707936307
0.0002,1241.7,0.00710273665
0.0002,1241.8,0.00712625911
0.0002,1241.9,0.00714989732
0.0002,1242.0,0.00717383325
0.0002,1242.1,0.00719794855
0.0002,1242.2,0.00722212733
0.0002,1242.3,0.00724667
0.0002,1242.4,0.00727123791
0.0002,1242.5,0.00729610501
0.0002,1242.6,0.00732112114
0.0002,1242.7,0.00734636421
0.0002,1242.8,0.00737177354
0.0002,1242.9,0.00739743109
0.0002,1243.0,0.00742332145
0.0002,1243.1,0.00744924914
0.0002,1243.2,0.0074756001
0.0002,1243.3,0.00750201179
0.0002,1243.4,0.00752865103
0.0002,1243.5,0.00755562357
0.0002,1243.6,0.00758273937
0.0002,1243.7,0.00761006715
0.0002,1243.8,0.00763757859
0.0002,1243.9,0.00766537129
0.0002,1244.0,0.0076933711
0.0002,1244.1,0.0077216307
0.0002,1244.2,0.00775008828
0.0002,1244.3,0.00777886419
0.0002,1244.4,0.00780774321
0.0002,1244.5,0.00783694704
0.0002,1244.6,0.00786637062
0.0002,1244.7,0.00789605983
0.0002,1244.8,0.0079259889
0.0002,1244.9,0.00795608714
0.0002,1245.0,0.00798661877
0.0002,1245.1,0.00801730556
0.0002,1245.2,0.00804828813
0.0002,1245.3,0.00807949324
0.0002,1245.4,0.00811092281
0.0002,1245.5,0.00814272858
0.0002,1245.6,0.00817475724
0.0002,1245.7,0.00820708465
0.0002,1245.8,0.00823958431
0.0002,1245.9,0.0082724411
0.0002,1246.0,0.00830557277
0.0002,1246.1,0.00833899614
0.0002,1246.2,0.00837272197
0.0002,1246.3,0.00840672952
0.0002,1246.4,0.00844097414
0.0002,1246.5,0.00847560225
0.0002,1246.6,0.00851033985
0.0002,1246.7,0.00854551761
0.0002,1246.8,0.00858089704
0.0002,1246.9,0.00861659079
0.0002,1247.0,0.00865262074
0.0002,1247.1,0.00868896654
0.0002,1247.2,0.00872551936
0.0002,1247.3,0.00876245365
0.0002,1247.4,0.00879956307
0.0002,1247.5,0.00883694941
0.0002,1247.6,0.00887477559
0.0002,1247.7,0.00891280962
0.0002,1247.8,0.00895108051
0.0002,1247.9,0.00898971063
0.0002,1248.0,0.00902858105
0.0002,1248.1,0.00906774492
0.0002,1248.2,0.00910719949
0.0002,1248.3,0.00914695962
0.0002,1248.4,0.00918691269
0.0002,1248.5,0.00922720794
0.0002,1248.6,0.0092676666
0.0002,1248.7,0.00930841852
0.0002,1248.8,0.00934947053
0.0002,1248.9,0.00939066269
0.0002,1249.0,0.00943217682
0.0002,1249.1,0.00947385582
0.0002,1249.2,0.00951589909
0.0002,1249.3,0.00955811369
0.0002,1249.4,0.00960053808
0.0002,1249.5,0.00964326167
0.0002,1249.6,0.00968609915
0.0002,1249.7,0.00972917876
0.0002,1249.8,0.00977248787
0.0002,1249.9,0.0098159618
0.0002,1250.0,0.00985966264
0.0002,1250.1,0.00990355003
0.0002,1250.2,0.00994759739
0.0002,1250.3,0.00999183189
0.0002,1250.4,0.0100362187
0.0002,1250.5,0.0100808205
0.0002,1250.6,0.0101255806
0.0002,1250.7,0.0101704868
0.0002,1250.8,0.0102154637
0.0002,1250.9,0.01026067
0.0002,1251.0,0.0103059732
0.0002,1251.1,0.0103514137
0.0002,1251.2,0.0103969934
0.0002,1251.3,0.0104426457
0.0002,1251.4,0.010488438
0.0002,1251.5,0.0105343417
0.0002,1251.6,0.0105802274
