time,A_m,sqrt_A_m
42.1,0.000926148386,0.0304326861
42.2,0.000923851187,0.0303949204
42.3,0.000921534222,0.0303567821
42.4,0.000919200831,0.030318325
42.5,0.000916854421,0.030279604
42.6,0.000914498454,0.0302406755
42.7,0.000912136434,0.0302015965
42.8,0.000909771895,0.0301624252
42.9,0.000907408391,0.0301232201
43.0,0.00090504948,0.0300840403
43.1,0.000902698716,0.0300449449
43.2,0.000900359635,0.0300059933
43.3,0.000898035744,0.0299672445
43.4,0.000895730511,0.0299287573
43.5,0.000893447354,0.0298905897
43.6,0.00089118963,0.0298527994
43.7,0.000888960624,0.0298154427
43.8,0.000886763544,0.0297785753
43.9,0.000884601505,0.0297422512
44.0,0.000882477527,0.0297065233
44.1,0.000880394524,0.0296714429
44.2,0.000878355303,0.0296370596
44.3,0.000876362552,0.0296034213
44.4,0.000874418838,0.0295705739
44.5,0.000872526606,0.0295385613
44.6,0.000870688171,0.0295074257
44.7,0.000868905718,0.0294772067
44.8,0.000867181296,0.0294479421
44.9,0.000865516824,0.0294196673
45.0,0.000863914081,0.0293924154
45.1,0.00086237471,0.0293662172
45.2,0.000860900221,0.0293411012
45.3,0.000859491984,0.0293170937
45.4,0.000858151239,0.0292942185
45.5,0.000856879091,0.0292724972
45.6,0.000855676519,0.029251949
45.7,0.000854544371,0.0292325909
45.8,0.000853483373,0.0292144377
45.9,0.000852494132,0.0291975021
46.0,0.000851577137,0.0291817946
46.1,0.000850732767,0.0291673236
46.2,0.000849961291,0.0291540956
46.3,0.000849262875,0.0291421151
46.4,0.000848637584,0.0291313849
46.5,0.000848085382,0.0291219055
46.6,0.000847606141,0.0291136762
46.7,0.000847199642,0.0291066941
46.8,0.000846865576,0.0291009549
46.9,0.000846603546,0.0290964525
47.0,0.00084641307,0.0290931791
47.1,0.000846293582,0.0290911255
47.2,0.000846244435,0.0290902808
47.3,0.000846264902,0.0290906325
47.4,0.000846354177,0.0290921669
47.5,0.00084651138,0.0290948686
47.6,0.000846735555,0.0290987208
47.7,0.000847025675,0.0291037055
47.8,0.000847380646,0.0291098033
47.9,0.000847799306,0.0291169934
48.0,0.000848280428,0.0291252541
48.1,0.000848822726,0.0291345624
48.2,0.000849424859,0.0291448942
48.3,0.000850085432,0.0291562246
48.4,0.000850803005,0.0291685276
48.5,0.000851576094,0.0291817767
48.6,0.000852403183,0.0291959446
48.7,0.000853282725,0.0292110035
48.8,0.000854213151,0.0292269251
48.9,0.000855192877,0.029243681
49.0,0.000856220308,0.0292612424
49.1,0.000857293852,0.0292795808
49.2,0.000858411918,0.0292986675
49.3,0.000859572928,0.0293184742
49.4,0.000860775324,0.0293389728
49.5,0.000862017571,0.0293601357
49.6,0.000863298163,0.029381936
49.7,0.00086461563,0.0294043471
49.8,0.000865968541,0.0294273434
49.9,0.000867355511,0.0294509
50.0,0.000868775203,0.0294749928
50.1,0.000870226332,0.0294995988
50.2,0.000871707669,0.0295246959
50.3,0.000873218042,0.029550263
50.4,0.000874756336,0.0295762799
50.5,0.000876321493,0.0296027278
50.6,0.000877912513,0.0296295885
50.7,0.000879528448,0.0296568449
50.8,0.000881168406,0.0296844809
50.9,0.000882831542,0.0297124813
51.0,0.000884517065,0.0297408316
51.1,0.000886224225,0.0297695184
51.2,0.000887952317,0.0297985288
51.3,0.000889700675,0.0298278507
51.4,0.000891468669,0.0298574726
51.5,0.000893255704,0.0298873837
51.6,0.000895061214,0.0299175737
51.7,0.000896884659,0.0299480326
51.8,0.000898725523,0.0299787512
51.9,0.000900583308,0.0300097202
52.0,0.000902457533,0.030040931
52.1,0.000904347729,0.0300723748
52.2,0.000906253434,0.0301040435
52.3,0.000908174196,0.0301359287
52.4,0.00091010956,0.0301680221
52.5,0.000912059074,0.0302003158
52.6,0.000914022283,0.0302328014
52.7,0.000915998725,0.0302654708
52.8,0.000917987934,0.0302983157
52.9,0.000919989431,0.0303313275
53.0,0.000922002729,0.0303644978
53.1,0.000924027326,0.0303978178
53.2,0.00092606271,0.0304312785
53.3,0.000928108349,0.0304648707
53.4,0.0009301637,0.0304985852
53.5,0.000932228205,0.0305324124
53.6,0.000934301291,0.0305663425
53.7,0.000936382374,0.0306003656
53.8,0.000938470858,0.0306344717
53.9,0.000940566135,0.0306686507
54.0,0.000942667593,0.0307028923
54.1,0.000944774615,0.0307371862
54.2,0.000946886579,0.0307715222
54.3,0.000949002865,0.0308058901
54.4,0.000951122855,0.0308402798
54.5,0.000953245939,0.0308746812
54.6,0.000955371515,0.0309090847
54.7,0.000957498995,0.0309434807
54.8,0.000959627805,0.0309778599
54.9,0.000961757392,0.0310122136
55.0,0.000963887223,0.0310465332
55.1,0.00096601679,0.0310808106
55.2,0.000968145613,0.0311150384
55.3,0.000970273239,0.0311492093
55.4,0.000972399247,0.0311833168
55.5,0.000974523248,0.0312173549
55.6,0.000976644886,0.0312513181
55.7,0.00097876384,0.0312852016
55.8,0.000980879823,0.031319001
55.9,0.000982992587,0.0313527126
56.0,0.000985101914,0.0313863332
56.1,0.000987207625,0.0314198604
56.2,0.000989309574,0.0314532919
56.3,0.000991407646,0.0314866265
56.4,0.000993501761,0.031519863
56.5,0.000995591869,0.031553001
56.6,0.000997677952,0.0315860405
56.7,0.000999760019,0.0316189819
56.8,0.00100183811,0.0316518264
56.9,0.0010039123,0.0316845751
57.0,0.00100598269,0.0317172301
57.1,0.0010080494,0.0317497937
57.2,0.00101011261,0.0317822688
57.3,0.0010121725,0.0318146586
57.4,0.00101422932,0.0318469672
57.5,0.00101628332,0.0318791988
57.6,0.0010183348,0.0319113585
57.7,0.00102038412,0.031943452
57.8,0.00102243166,0.0319754853
57.9,0.00102447785,0.0320074655
58.0,0.00102652315,0.0320394
58.1,0.00102856809,0.032071297
58.2,0.00103061323,0.0321031654
58.3,0.00103265916,0.0321350145
58.4,0.00103470653,0.0321668545
58.5,0.00103675601,0.0321986958
58.6,0.00103880832,0.0322305495
58.7,0.0010408642,0.032262427
58.8,0.00104292439,0.03229434
58.9,0.00104498968,0.0323263002
59.0,0.00104706085,0.0323583196
59.1,0.00104913866,0.03239041
59.2,0.00105122389,0.032422583
59.3,0.00105331729,0.03245485
59.4,0.00105541957,0.0324872216
59.5,0.00105753142,0.0325197083
59.6,0.0010596535,0.0325523194
59.7,0.00106178638,0.0325850637
59.8,0.0010639306,0.032617949
59.9,0.00106608662,0.0326509819
60.0,0.00106825485,0.0326841682
60.1,0.00107043561,0.0327175122
60.2,0.00107262913,0.0327510172
60.3,0.00107483557,0.032784685
60.4,0.00107705501,0.0328185163
60.5,0.00107928742,0.0328525101
60.6,0.00108153269,0.0328866643
60.7,0.00108379062,0.0329209753
60.8,0.00108606091,0.0329554383
60.9,0.00108834319,0.0329900469
61.0,0.00109063699,0.0330247936
61.1,0.00109294175,0.0330596695
61.2,0.00109525683,0.0330946647
61.3,0.00109758153,0.0331297681
61.4,0.00109991506,0.0331649674
61.5,0.00110225658,0.0332002496
61.6,0.00110460516,0.0332356008
61.7,0.00110695986,0.0332710063
61.8,0.00110931966,0.0333064507
61.9,0.00111168351,0.0333419182
62.0,0.00111405033,0.0333773925
62.1,0.00111641902,0.0334128572
62.2,0.00111878846,0.0334482953
62.3,0.00112115751,0.0334836902
62.4,0.00112352503,0.0335190249
62.5,0.00112588989,0.0335542828
62.6,0.00112825098,0.0335894474
62.7,0.00113060717,0.0336245025
62.8,0.00113295739,0.0336594324
62.9,0.00113530056,0.0336942215
63.0,0.00113763567,0.0337288552
63.1,0.0011399617,0.0337633189
63.2,0.00114227771,0.0337975991
63.3,0.00114458275,0.0338316827
63.4,0.00114687596,0.0338655572
63.5,0.0011491565,0.0338992109
63.6,0.00115142357,0.0339326328
63.7,0.00115367643,0.0339658126
63.8,0.00115591437,0.0339987407
63.9,0.00115813675,0.0340314082
64.0,0.00116034295,0.034063807
64.1,0.00116253242,0.0340959296
64.2,0.00116470464,0.0341277694
64.3,0.00116685915,0.0341593201
64.4,0.00116899552,0.0341905764
64.5,0.00117111336,0.0342215336
64.6,0.00117321233,0.0342521873
64.7,0.00117529214,0.034282534
64.8,0.0011773525,0.0343125706
64.9,0.00117939318,0.0343422943
65.0,0.00118141398,0.0343717032
65.1,0.00118341472,0.0344007953
65.2,0.00118539525,0.0344295694
65.3,0.00118735545,0.0344580244
65.4,0.00118929521,0.0344861597
65.5,0.00119121445,0.0345139747
65.6,0.00119311309,0.0345414692
65.7,0.0011949911,0.0345686434
65.8,0.00119684844,0.0345954973
65.9,0.00119868507,0.0346220316
66.0,0.001200501,0.0346482467
66.1,0.00120229622,0.0346741434
66.2,0.00120407075,0.0346997227
66.3,0.00120582463,0.0347249857
66.4,0.00120755789,0.0347499337
66.5,0.00120927059,0.0347745682
66.6,0.0012109628,0.0347988908
66.7,0.00121263461,0.0348229035
66.8,0.00121428611,0.0348466083
66.9,0.00121591743,0.0348700075
67.0,0.00121752869,0.0348931038
67.1,0.00121912006,0.0349158998
67.2,0.0012206917,0.0349383987
67.3,0.00122224382,0.0349606038
67.4,0.00122377661,0.0349825186
67.5,0.00122529032,0.0350041471
67.6,0.00122678519,0.0350254934
67.7,0.0012282615,0.0350465618
