case,time,kinetic_energy,lc_w_z05_raw,lc_w_z_weighted_raw,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc,Lm_raw,MSE_integral_wavelength_2pi_Lm,mprime2_z025,mprime2_z050,mprime2_z075,mprime2_z_weighted
Ek7e-3_AR16,10.8,1.74609877e-09,0.0796449621,0.0880726469,0.500424055657595,0.5533767609664957,0.0805709903,0.506242462437869,8.82449248e-10,6.13178043e-09,9.78045273e-09,4.39989297e-09
Ek7e-3_AR16,10.9,1.872029105e-09,0.0797607412,0.0889462411,0.5011515171975934,0.558865715208373,0.0806505169,0.5067421428025188,8.87146278e-10,6.44943906e-09,1.04824409e-08,4.67822766e-09
Ek7e-3_AR16,11.0,2.007381455e-09,0.07987071,0.0898307819,0.5018424715460016,0.564423448966534,0.0807253144,0.5072121093555326,8.91788571e-10,6.78728729e-09,1.12366559e-08,4.97654806e-09
Ek7e-3_AR16,11.1,2.15286336e-09,0.0799751435,0.0907243092,0.502498646578779,0.5700376465694578,0.0807956509,0.5076540466188911,8.96389011e-10,7.14674275e-09,1.20470324e-08,5.29634491e-09
Ek7e-3_AR16,11.2,2.309236095e-09,0.0800743632,0.0916245635,0.5031220623400018,0.5756941111599431,0.0808617855,0.5080695825659074,9.0096134e-10,7.52932652e-09,1.29178034e-08,5.63922099e-09
Ek7e-3_AR16,11.3,2.4773134e-09,0.0801686936,0.0925288345,0.5037147577233021,0.5813758134208517,0.0809239687,0.5084602911345008,9.0552019e-10,7.93667124e-09,1.38535225e-08,6.00689966e-09
Ek7e-3_AR16,11.4,2.657972655e-09,0.0802583943,0.0934338973,0.5042783638435858,0.5870624907078864,0.0809824435,0.508827699138701,9.10081111e-10,8.37052862e-09,1.48590881e-08,6.40123338e-09
Ek7e-3_AR16,11.5,2.852159275e-09,0.0803437636,0.0943360576,0.5048147549750301,0.5927309310495671,0.0810374419,0.5091732642774994,9.14660625e-10,8.83277866e-09,1.59397702e-08,6.82421389e-09
Ek7e-3_AR16,11.6,3.060890905e-09,0.0804250801,0.095231202,0.5053256816130614,0.5983552891914512,0.081089189,0.5094984008959086,9.19276246e-10,9.32543998e-09,1.71012381e-08,7.27798298e-09
Ek7e-3_AR16,11.7,3.285258515e-09,0.0805025116,0.0961147303,0.5058121980761743,0.6039066612244887,0.0811378974,0.5098044447991248,9.23946534e-10,9.85067911e-09,1.83495918e-08,7.76484363e-09
Ek7e-3_AR16,11.8,3.526433475e-09,0.0805764018,0.0969817082,0.5062764638951588,0.609354044027418,0.0811837711,0.5100926777569507,9.2869114e-10,1.04108215e-08,1.96913936e-08,8.28727171e-09
Ek7e-3_AR16,11.9,3.785677515e-09,0.08064692,0.0978270406,0.5067195428132875,0.6146654241427808,0.0812270051,0.5103643249905213,9.33530872e-10,1.1008364e-08,2.11337032e-08,8.8479295e-09
Ek7e-3_AR16,12.0,4.06434031e-09,0.0807143014,0.0986453807,0.5071429126357446,0.6198072066353767,0.0812677846,0.5106205501457555,9.38487736e-10,1.16459866e-08,2.26841156e-08,9.44967908e-09
Ek7e-3_AR16,12.1,4.363891055e-09,0.0807787374,0.0994314115,0.5075477759641981,0.6247459838089273,0.0813062856,0.5108624590632672,9.43584991e-10,1.23265666e-08,2.43508026e-08,1.0095598e-08
Ek7e-3_AR16,12.2,4.68589063e-09,0.080840453,0.100180059,0.5079355465153419,0.6294498747811841,0.0813426744,0.511091096636773,9.48847244e-10,1.30531937e-08,2.6142557e-08,1.07889961e-08
